version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
542e9b95b8af69e91519b1638a6929144e032352,0.063599,0.500162,0.500160,4.093351,1.571050
899cc876c2a50798af6e0a9398f8fc19056c87f4,0.025126,0.500162,0.500160,4.093351,1.571050
0a4b85b1cbe24882e4cb93b9e296502cbde4bee0,0.023502,0.500162,0.500160,4.093351,1.571050
afeb7ee2c0500f0a008d1d6ffe689862f6478e94,0.013356,0.500162,0.500160,4.093351,1.571050
8f34306a054d95645eb304c9248f31a599a84610,0.014923,0.500162,0.500160,4.093351,1.571050
0ae311049a4d18ad81db1a5681523ef205fd2f25,0.066504,0.500162,0.500160,4.093351,1.571050
0bb91dcfd7f31bdffa86b6e9b15bcee2f8ae3e3f,0.091562,0.500162,0.500160,4.093351,1.571050
eb05c53d9f1fbd5fd5c1425acc44015d56a0b3c4,0.015414,0.500162,0.500160,4.093351,1.571050
1b9f4b9a1f94c59454b2edfd5e288a8de83d69f8,0.004657,0.500162,0.500160,4.093351,1.571050
1a1a69c2f91056816e06faa955f6bd5304ae5037,0.064096,0.500162,0.500160,4.093351,1.571050
dc34af7444563ed959789d1b298750b07ef7b303,0.025786,0.500162,0.500160,4.093351,1.571050
3b23d253f03cdad39ee37e7d79e2a1e501b35875,0.018762,0.500162,0.500160,4.093351,1.571050
e1fd9554d8a574e4f8c09cb2dafcebfbde4cf970,0.049105,0.500162,0.500160,4.093351,1.571050
fc87eb33ff78bebdb99d9d4cfa08abfabfb2d2e5,0.036861,0.500162,0.500160,4.093351,1.571050
36c7ddb7f8a49f37235a4212bd30abc919b49c16,0.028479,0.500162,0.500160,4.093351,1.571050
9dc8118904309e6a1b4e03e729cd1eaa74e3ade8,0.029930,0.500162,0.500160,4.093351,1.571050
951b8ffec208a46a74f638fc55a219ce04e8f3c2,0.127940,0.500162,0.500160,4.093351,1.571050
af1b6520809f7c364b8eab8ec151c1dafb1b6d83,0.033188,0.500162,0.500160,4.093351,1.571050
b92ed8f2dc415d89f111d887f71faf2a32d1ef7c,0.041287,0.500162,0.500160,4.093351,1.571050
d3e9a7daf3810257849483e59818904cb16b0d6c,0.028843,0.500162,0.500160,4.093351,1.571050
1197eb46432afd1176579f9ce80d1e84b43945b2,0.027404,0.500162,0.500160,4.093351,1.571050
c78f2624eb6d755123f4ebcccbb5af5346e2aee7,0.016064,0.500162,0.500160,4.093351,1.571050
ec2a89a34f743ff5a3a27b2595fb7e2feda1f6cd,0.027728,0.500162,0.500160,4.093351,1.571050
79ea587e05d06d610fcdbf2a26ae13cdb9496d18,0.040632,0.500162,0.500160,4.093351,1.571050
14c54c4047707706d8a6a08ee30bc6a34a1595b5,0.029157,0.500162,0.500160,4.093351,1.571050
8ecfa3c0ae9af98e8e234b17b6887edd15dc04e9,0.022213,0.500162,0.500160,4.093351,1.571050
196a7b7dac14919dd490544b47c4349f57700ccd,0.058778,0.500162,0.500160,4.093351,1.571050
2d4c8d7bf11f70a27185b3f9f45f6b042ca2d622,0.042612,0.500162,0.500160,4.093351,1.571050
2d4c8d7bf11f70a27185b3f9f45f6b042ca2d622,0.013408,0.500162,0.500160,4.093351,1.571050
669a4ea853114dbba3621cb96c72b35560471646,0.026524,0.500162,0.500160,4.093351,1.571050
211c91608a1a6311ff9c3cf4cea06320c114b798,0.043561,0.500162,0.500160,4.093351,1.571050
e7bf670065eeae4f1ee0c0a8999173b8aa1786b4,0.031463,0.500162,0.500160,4.093351,1.571050
95f9be5749de8208c32525315c3ea0ec98bb3d58,0.052955,0.500162,0.500160,4.093351,1.571050
027eb6d3a1862269c577cb7a0c6bcc643e15d9ee,0.005545,0.500162,0.500160,4.093351,1.571050
fafbddbb3eae2f8ae35bb3f43b9380f8b70aa3dc,0.014202,0.500162,0.500160,4.093351,1.571050
f6b52d218f1938a2f577c2435dfbe702ae4c8be4,0.005227,0.500162,0.500160,4.093351,1.571050
c4bbb58ff595040f2d668b3362d55b3edd46a6a7,0.039200,0.500162,0.500160,4.093351,1.571050
60a960c7b32fde3316eb263ab0732a2def016d27,0.060963,0.500162,0.500160,4.093351,1.571050
29eb6bfdfc790fca4c6cd97e0b6ab383676ae11c,0.110930,0.500162,0.500160,4.093351,1.571050
f8e7bd2580379101a58ab69e51465332c2bae30c,0.016839,0.500162,0.500160,4.093351,1.571050
c6010052302f3f8f88769f06d7902992a72f8787,0.029943,0.500162,0.500160,4.093351,1.571050
